locus_tag	gene	product	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
BB_0024	NA	conserved hypothetical protein	783.5215983	1.067656774	0.199432763	5.353467287	8.63E-08	6.06E-07
BB_0025	NA	DNA-binding regulatory protein, YebC/PmpR family	585.6599605	0.37432623	0.185141369	2.021840028	0.043192881	0.081662512
BB_0026	NA	methylenetetrahydrofolate dehydrogenase	715.1285927	0.203794327	0.14015972	1.454014943	0.145942163	0.225569855
BB_0027	NA	conserved hypothetical protein	1437.050468	0.240734557	0.228183788	1.055002894	0.291424001	0.392347477
BB_0028	NA	lipoprotein, putative	1600.980745	0.891465796	0.212359546	4.197907809	2.69E-05	0.000120402
BB_0029	NA	YaiI/YqxD family protein	14.81850192	-0.128932681	0.647917475	-0.19899553	0.842266241	0.889660644
BB_0030	lepB	signal peptidase I	65.03026128	-0.009899074	0.279636697	-0.035399769	0.971760969	0.980237367
BB_0031	lepB	signal peptidase I	402.7198546	0.220588307	0.188724512	1.168837605	0.242469066	0.340389266
BB_0032	NA	conserved hypothetical protein	126.820209	0.137388708	0.266927454	0.5147043	0.606759668	0.698758424
BB_0033	smpB	SsrA-binding protein	108.4427965	-0.453776882	0.261924587	-1.732471499	0.083189647	0.140864944
BB_0034	NA	outer membrane protein P13	14349.32556	0.539417517	0.163958625	3.289961213	0.001002012	0.003115412
BB_0035	NA	DNA gyrase/topoisomerase IV, A subunit domain protein	798.3531787	-1.032923162	0.15919507	-6.488411739	8.67E-11	9.91E-10
BB_0036	NA	DNA topoisomerase II (N- region) domain protein	1596.87089	-0.81194707	0.1495338	-5.429856449	5.64E-08	4.05E-07
BB_0037	NA	1-acyl-sn-glycerol-3-phosphate acyltransferase (1-agpacyltransferase) (1-agpat) (lysophosphatidic acid acyltransferase)(lpaat)	670.7371939	-0.67246351	0.180900675	-3.717307901	0.000201357	0.00074741
BB_0038	NA	NA	393.945651	-1.091591317	0.217582876	-5.016899017	5.25E-07	3.18E-06
BB_0039	NA	conserved hypothetical protein	1117.419116	-1.096605007	0.198821921	-5.515513605	3.48E-08	2.61E-07
BB_0040	cheR	CheR methyltransferase, SAM binding domain	65.22695116	1.428675306	0.267891283	5.333041415	9.66E-08	6.71E-07
BB_0042	phoU	phosphate transport system regulatory protein PhoU	218.6367438	-0.230284668	0.18410317	-1.250845752	0.210990759	0.306006465
BB_0043	NA	conserved hypothetical protein	482.8385961	0.392252036	0.206427479	1.900192926	0.057407806	0.103192691
BB_0044	NA	conserved hypothetical protein	36.33070047	-0.306338214	0.510369725	-0.600228028	0.548354277	0.650304621
BB_0045	NA	P115 protein	359.2839778	0.078472368	0.229332321	0.342177532	0.732217293	0.810558991
BB_0046	rnhB	ribonuclease HII	162.843445	-0.239351253	0.234832421	-1.019242798	0.308087713	0.410980446
BB_0047	NA	conserved hypothetical protein	190.5778471	1.141067629	0.239671797	4.760959118	1.93E-06	1.05E-05
BB_0050	NA	transporter	64.09464139	-0.046091638	0.296186502	-0.155616942	0.87633497	0.912778976
BB_0051	NA	conserved hypothetical integral membrane protein	45.22456556	-0.318807915	0.318056101	-1.002363779	0.316167929	0.419641069
BB_0052	NA	tRNA/rRNA methyltransferase	119.4797486	0.451864919	0.248525547	1.818182976	0.069036171	0.11967484
BB_0053	ung	uracil-DNA glycosylase	218.8285308	0.530656358	0.29484374	1.79978845	0.071894048	0.124110646
BB_0054	NA	putative protein-export membrane protein SecG	351.3754573	0.420126983	0.160179996	2.622843021	0.008719944	0.020934443
BB_0055	tpiA	triose-phosphate isomerase	1877.573838	0.386768952	0.182178799	2.123018459	0.033752305	0.067197771
BB_0056	pgk	phosphoglycerate kinase	4975.45539	0.301567429	0.163259495	1.847166247	0.06472305	0.113546178
BB_0057	gap	glyceraldehyde-3-phosphate dehydrogenase, type I	6877.628128	0.000956172	0.156529803	0.00610856	0.995126105	0.995126105
BB_0058	NA	tetratricopeptide repeat domain protein	801.3914449	-0.039258564	0.194198506	-0.202156879	0.839794083	0.887763013
BB_0059	NA	CBS domain pair protein	1057.715588	0.741805336	0.197030626	3.764924022	0.0001666	0.000627255
BB_0060	NA	conserved hypothetical protein	101.4161777	0.653759166	0.370992046	1.762191865	0.078036886	0.133342612
BB_0061	trx	thioredoxin	198.077543	1.053915457	0.356634731	2.955167758	0.003124991	0.008554662
BB_0062	NA	RNA methyltransferase, RsmE family	94.49702089	0.934217538	0.247812801	3.769851809	0.000163345	0.000620331
BB_0063	NA	pasta domain protein	568.3254412	0.243895187	0.14100748	1.729661341	0.083690799	0.141531159
BB_0064	fmt	methionyl-tRNA formyltransferase	946.0770859	0.407292725	0.182274617	2.234500513	0.025450159	0.052416158
BB_0065	def	peptide deformylase	713.5850226	-0.395905832	0.1897835	-2.086091945	0.036970295	0.072247262
BB_0066	NA	conserved hypothetical protein	203.4616514	0.346385451	0.188396496	1.838598162	0.065974312	0.115126488
BB_0067	NA	NA	7826.491584	0.698902574	0.222275392	3.144309265	0.001664794	0.004872025
BB_0068	NA	haloacid dehalogenase-like hydrolase	663.8416214	0.023356458	0.159373737	0.146551484	0.88348605	0.914792894
BB_0069	NA	aminopeptidase II	2137.966146	0.642368083	0.190304903	3.375467851	0.000736903	0.002355938
BB_0070	NA	conserved hypothetical protein	715.867216	0.950174933	0.26075407	3.643950539	0.000268485	0.000977256
BB_0071	NA	NA	156.6438805	0.380671092	0.205661976	1.850955142	0.064176007	0.113135627
BB_0072	NA	membrane protein, putative	371.8397605	-0.919948768	0.179593245	-5.12240184	3.02E-07	1.90E-06
BB_0073	NA	conserved hypothetical protein	38.9152269	-1.043912559	0.354985061	-2.940722509	0.003274477	0.008902761
BB_0074	prfB	peptide chain release factor 2	1156.45972	0.234761089	0.143753413	1.633081848	0.102451784	0.168910469
BB_0075	NA	conserved hypothetical protein	219.2433477	-0.158897812	0.184398241	-0.861710017	0.388847112	0.496063209
BB_0076	ftsY	signal recognition particle-docking protein FtsY	232.3440218	-0.129041077	0.253578287	-0.508880623	0.610835903	0.702220802
BB_0077	NA	NA	71.20465281	-0.672558229	0.308634661	-2.179140304	0.029321247	0.059456973
BB_0080	NA	ABC transporter, ATP-binding protein	72.47948789	-0.68294736	0.282930493	-2.413834416	0.015785634	0.034861048
BB_0081	NA	efflux ABC transporter, permease protein	28.60436345	-0.308817522	0.478588062	-0.645267917	0.51875358	0.627663171
BB_0082	NA	conserved hypothetical protein	474.9431421	-0.138775572	0.219029258	-0.633593763	0.526345972	0.63509514
BB_0083	NA	conserved hypothetical protein	512.8329799	0.324317655	0.218584007	1.483720878	0.137882985	0.216203153
BB_0084	NA	aminotransferase, class V superfamily	431.3708585	-1.711993841	0.198770427	-8.612920259	7.12E-18	1.77E-16
BB_0085	NA	conserved hypothetical protein	27.20918487	-0.023430119	0.577177289	-0.040594319	0.967619313	0.979546824
BB_0086	NA	putative Mg chelatase homolog	541.6482722	0.640716093	0.154356989	4.150871925	3.31E-05	0.000146536
BB_0087	NA	L-lactate dehydrogenase	2879.273585	0.054787894	0.169933863	0.32240716	0.747144261	0.820859163
BB_0088	lepA	GTP-binding protein LepA	3261.299698	0.152443235	0.170380219	0.894723789	0.370934759	0.477383226
BB_0089	NA	conserved hypothetical protein	229.2546807	-0.397450253	0.350152066	-1.13507899	0.256342224	0.354337723
BB_0090	NA	V-type ATPase, subunit K	1347.779614	-0.466534035	0.153835989	-3.032671603	0.002423992	0.006791313
BB_0091	NA	NA	1718.108413	-0.434495631	0.22776738	-1.907628873	0.056439201	0.102401248
BB_0092	NA	V-type ATPase, D subunit	270.9218624	-1.021169015	0.361159152	-2.827476502	0.004691646	0.01220757
BB_0093	NA	V-type ATP synthase beta chain (V-type ATPase subunitB)	2170.300167	-0.545284795	0.189752937	-2.873656674	0.004057498	0.010749097
BB_0094	NA	NA	2853.875557	-0.707918767	0.179460496	-3.944705275	7.99E-05	0.00032706
BB_0095	NA	conserved hypothetical protein	118.8171127	-0.760877082	0.414624383	-1.835099703	0.066490918	0.115567548
BB_0096	NA	V-type ATP synthase subunit E (V-type ATPase subunit E)	1058.455738	-0.88123085	0.13694402	-6.434971387	1.23E-10	1.34E-09
BB_0097	NA	conserved hypothetical protein	457.6170337	-0.726433448	0.187942886	-3.865181936	0.000111006	0.000442007
BB_0098	NA	MutS2 protein	462.9141245	-0.70175935	0.166622459	-4.211673231	2.53E-05	0.000114855
BB_0099	rsgA	ribosome small subunit-dependent GTPase A	315.8304043	-0.09745677	0.219444515	-0.444106656	0.656965474	0.742902438
BB_0100	murI	glutamate racemase	462.7068628	0.193328363	0.296749023	0.651487784	0.51473166	0.623945942
BB_0101	asnS	asparaginyl-tRNA synthetase	420.5294855	0.263615793	0.166285914	1.585316438	0.112894456	0.182914076
BB_0102	NA	conserved hypothetical protein	31.28876799	-0.491234342	0.389694714	-1.260561984	0.207466703	0.302901386
BB_0103	NA	phosphoribosyl transferase domain protein	317.5124346	-0.329857457	0.166980383	-1.975426396	0.04821978	0.089492642
BB_0104	NA	periplasmic serine protease DO	4029.761446	-0.087741565	0.149489527	-0.586941214	0.557243189	0.658516375
BB_0105	map	methionine aminopeptidase, type I	778.0060099	-1.010667605	0.146052378	-6.919898323	4.52E-12	5.60E-11
BB_0106	NA	tetratricopeptide repeat domain protein	417.3261418	-0.870806178	0.17452095	-4.989694237	6.05E-07	3.60E-06
BB_0107	nusB	transcription antitermination factor NusB	501.9801744	-0.182252992	0.195766506	-0.930971266	0.351868428	0.458902866
BB_0108	NA	basic membrane protein	899.3755671	-0.424626901	0.201331714	-2.109090977	0.03493673	0.06924112
BB_0109	NA	acetyl-CoA acetyltransferases subfamily	920.4189252	-1.235661493	0.17031715	-7.255062047	4.01E-13	5.73E-12
BB_0110	NA	conserved hypothetical protein	194.0838799	0.045198713	0.191562509	0.235947594	0.813473336	0.871252343
BB_0111	dnaB	replicative DNA helicase	898.7873133	0.109823609	0.21072562	0.521168756	0.602249217	0.694780923
BB_0112	rplI	ribosomal protein L9	1342.894176	0.172438209	0.159466952	1.081341353	0.279545299	0.379808382
BB_0113	rpsR	ribosomal protein S18	189.277751	0.303005705	0.241974602	1.25222111	0.210489306	0.305616517
BB_0114	NA	single-stranded DNA-binding protein (SSB) (Helix-destabilizingprotein)	316.6233542	-0.069327011	0.224150203	-0.309288191	0.757102313	0.82764762
BB_0115	NA	30S ribosomal protein S6	906.9063613	0.278039666	0.189483823	1.467353049	0.14228004	0.221249671
BB_0116	NA	pts system, maltose and glucose-specific iiabc component	736.3465042	0.824103903	0.14640205	5.629046186	1.81E-08	1.43E-07
BB_0117	NA	membrane protein	53.8221968	0.161154225	0.296582962	0.543369801	0.586875214	0.683041657
BB_0118	rseP	RIP metalloprotease RseP	460.9538678	-0.427421893	0.175272619	-2.438611896	0.014743793	0.032880745
BB_0120	uppS	di-trans,poly-cis-decaprenylcistransferase	1241.902007	0.367155514	0.158045467	2.32310056	0.020173751	0.042824408
BB_0121	frr	ribosome recycling factor	1375.494563	0.525672054	0.215372359	2.440759144	0.014656426	0.032752626
BB_0122	tsf	translation elongation factor Ts	1664.562105	0.546000999	0.156095571	3.497863498	0.000469001	0.001630337
BB_0123	rpsB	ribosomal protein S2	1197.37175	0.570298823	0.157708713	3.616152927	0.000299014	0.00108238
BB_0124	NA	conserved hypothetical protein	143.6347245	0.236409041	0.265855759	0.889237992	0.373875189	0.480226782
BB_0125	NA	conserved hypothetical protein	490.3380099	-0.057375535	0.153251718	-0.374387551	0.708116004	0.788529177
BB_0126	NA	conserved hypothetical protein	752.8547932	0.051043721	0.160964752	0.317111172	0.751159248	0.823205381
BB_0127	NA	ribosomal protein S1	3406.092139	0.323083916	0.153406309	2.106066681	0.035198561	0.069654983
BB_0128	cmk	cytidylate kinase	561.6495079	0.091896648	0.163815844	0.560975332	0.574814353	0.673178307
BB_0129	NA	putative RNA pseudouridine synthase (RNA-uridine isomerase) (RNA pseudouridylate synthase)	637.3967066	-0.704821194	0.186031939	-3.788710671	0.000151431	0.000583521
BB_0130	NA	conserved hypothetical protein	168.0433294	-0.729187819	0.210902785	-3.457459407	0.000545294	0.001837223
BB_0131	recA	protein RecA	2069.839859	-0.419605902	0.162139219	-2.587935877	0.009655295	0.023067378
BB_0132	NA	transcription elongation factor GreA (Transcript cleavage factorgreA)	3210.48383	-0.479361699	0.170439592	-2.812502042	0.004915771	0.01266534
BB_0133	NA	tetratricopeptide repeat domain protein	1714.374206	-0.210253034	0.15463264	-1.359693752	0.173926856	0.261786814
BB_0134	NA	tetratricopeptide repeat domain protein	200.042595	-0.249409355	0.247600006	-1.007307552	0.313787002	0.417324009
BB_0135	hisS	histidyl-tRNA synthetase	360.4903496	-1.292399464	0.229545694	-5.630249219	1.80E-08	1.43E-07
BB_0136	NA	penicillin-binding protein	206.9723426	0.153275259	0.200459991	0.764617706	0.444499223	0.553098465
BB_0137	NA	long-chain-fatty-acid CoA ligase	4283.756022	0.273052601	0.179122594	1.524389495	0.127411443	0.20293168
BB_0138	NA	conserved hypothetical protein	10.49471138	-0.381822158	0.698384734	-0.546721799	0.584569875	0.681565941
BB_0139	NA	conserved hypothetical protein	479.0839601	-0.310680505	0.153511736	-2.023822494	0.042988419	0.081463328
BB_0141	NA	membrane fusion protein	1300.100913	0.100517365	0.164450029	0.61123349	0.541045015	0.648070328
BB_0142	NA	outer membrane efflux protein	531.1596474	0.460467627	0.17069197	2.697652541	0.006983028	0.017215196
BB_0143	NA	conserved hypothetical protein YidD	13.4590537	0.0749873	0.75337157	0.099535611	0.920713014	0.945169454
BB_0144	NA	glycine betaine, L-proline ABC transporter, glycine/betaine/L-proline-binding protein	1351.494661	0.771627569	0.154126451	5.006457769	5.54E-07	3.34E-06
BB_0145	NA	glycine betaine, L-proline ABC transporter, permease protein	507.9947546	0.571218516	0.177097013	3.225455397	0.001257724	0.003790481
BB_0146	NA	glycine betaine, L-proline ABC transporter, ATP-binding protein	763.6828994	0.035529891	0.153438941	0.2315572	0.816881954	0.871252343
BB_0147	NA	p41	47223.98218	0.313447456	0.193604746	1.619007091	0.105445737	0.173194624
BB_0149	NA	NA	2651.838691	0.252078319	0.199641632	1.262654066	0.206713528	0.30213746
BB_0151	nagA	N-acetylglucosamine-6-phosphate deacetylase	577.2796034	-0.056871059	0.199658241	-0.284842034	0.775765167	0.843139313
BB_0152	nagB	glucosamine-6-phosphate isomerase	264.8761885	0.109295598	0.181806095	0.601165756	0.54772959	0.650304621
BB_0153	NA	superoxide dismutase [Mn] (General stress protein 24)(GSP24)	564.9573995	0.049961021	0.160064857	0.31212986	0.754941835	0.825972998
BB_0154	secA	preprotein translocase, SecA subunit	3656.841379	-0.510547387	0.158836036	-3.214304512	0.001307609	0.003931804
BB_0155	NA	lipoprotein, putative	156.4746249	-0.050230859	0.236718397	-0.212196685	0.831953593	0.881602437
BB_0156	NA	conserved hypothetical protein	24.00632368	-0.147904043	0.47959238	-0.308395315	0.757781546	0.827701539
BB_0157	NA	conserved hypothetical protein	203.2861479	0.428351066	0.230021535	1.862221582	0.062571864	0.110957394
BB_0158	NA	S2 lipoprotein	687.9548919	-0.054793223	0.200866129	-0.272784783	0.785018657	0.848983141
BB_0159	NA	conserved hypothetical protein	198.49415	0.448245234	0.216910555	2.066498027	0.038781478	0.074939504
BB_0160	alr	alanine racemase	72.31384653	0.469060463	0.280723821	1.670896547	0.094742114	0.15820683
BB_0161	NA	conserved hypothetical protein	404.3820451	0.548043896	0.146759676	3.734294808	0.000188242	0.0007047
BB_0162	NA	conserved hypothetical protein	47.27385522	-1.615841994	0.364760877	-4.429866513	9.43E-06	4.61E-05
BB_0163	NA	conserved hypothetical protein	960.1557225	0.44965923	0.171466961	2.622424909	0.00873065	0.020934443
BB_0164	NA	putative K+-dependent Na+/Ca+ exchanger homolog	75.94366362	-0.814077507	0.307485886	-2.647528045	0.008108263	0.019549097
BB_0165	NA	conserved hypothetical protein	289.8173683	-0.685490625	0.200160228	-3.424709451	0.000615457	0.002019317
BB_0166	malQ	4-alpha-glucanotransferase	207.5472097	1.095418099	0.233968388	4.681906423	2.84E-06	1.52E-05
BB_0167	NA	outer membrane protein	153.1755478	-0.516818597	0.202989807	-2.546032264	0.010895512	0.025339296
BB_0168	NA	DnaK suppressor, putative	448.7916609	-0.919680723	0.240781086	-3.819572124	0.000133683	0.000521246
BB_0169	infA	translation initiation factor IF-1	197.7301992	-0.699326193	0.231004665	-3.027324977	0.002467285	0.006878031
BB_0170	NA	conserved hypothetical protein	686.0067389	-0.306885446	0.200266834	-1.532382775	0.125428005	0.200258079
BB_0171	NA	tetratricopeptide repeat domain protein	544.0874633	0.512996572	0.245955755	2.085727057	0.037003354	0.072247262
BB_0172	NA	von Willebrand factor type A domain protein	238.2933073	-0.185922948	0.182527482	-1.018602495	0.308391719	0.410980446
BB_0173	NA	NA	235.1058509	-0.555097422	0.191732847	-2.895160793	0.003789644	0.010141735
BB_0174	NA	conserved hypothetical protein	96.92815452	-0.557487159	0.253488951	-2.199256248	0.027859707	0.057021269
BB_0175	NA	conserved hypothetical protein	802.9646017	-0.299553885	0.155796844	-1.92272114	0.054515081	0.099214426
BB_0176	NA	ATPase family associated with various cellular activities (AAA), putative	2490.594394	-0.328205537	0.166210306	-1.974640107	0.048309004	0.089531779
BB_0177	gidB	16S rRNA methyltransferase GidB	83.54029185	-0.459197095	0.262659081	-1.748262776	0.080418536	0.136878181
BB_0178	gidA	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA	1406.192545	-0.152338479	0.165612256	-0.919850274	0.357651008	0.464380854
BB_0179	trmE	tRNA modification GTPase TrmE	727.675012	-0.597373683	0.175254634	-3.4086042	0.000652961	0.002129011
BB_0180	NA	FlbF protein	231.5796984	-0.303651065	0.194596152	-1.5604166	0.118661464	0.190845978
BB_0181	NA	NA	1383.25001	-0.068590026	0.180935758	-0.37908497	0.704624767	0.785306992
BB_0182	NA	NA	1035.061091	-0.108606648	0.173303907	-0.626683203	0.530866916	0.639409843
BB_0183	NA	conserved hypothetical protein	201.3270333	0.888169942	0.222409068	3.99340706	6.51E-05	0.000272553
BB_0184	csrA	carbon storage regulator	5.852671756	-0.371713166	0.933891763	-0.398025961	0.690611049	0.774285767
BB_0185	NA	glycoprotease family	43.67394199	-0.794945739	0.522352378	-1.521857224	0.128044859	0.203693638
BB_0186	NA	ATPase, YjeE family	146.4813401	0.351198969	0.238147482	1.474712083	0.140289966	0.219192646
BB_0187	NA	conserved hypothetical protein	307.8561968	0.004847095	0.274426251	0.017662649	0.985907978	0.98816406
BB_0188	NA	NA	912.5721762	0.026527264	0.139345217	0.190370824	0.849018559	0.894635434
BB_0189	rpmI	ribosomal protein L35	251.9864122	-0.500175308	0.233644129	-2.140757012	0.032293638	0.06478449
BB_0190	infC	translation initiation factor IF-3	1424.295807	0.373397993	0.227985147	1.637817192	0.101459834	0.167695877
BB_0192	NA	conserved hypothetical protein	18.24193926	-0.421986948	0.534104569	-0.790083014	0.429479289	0.539799369
BB_0193	NA	lipoprotein, putative	20.52875781	0.033480603	0.45360216	0.073810501	0.941161171	0.961653016
BB_0194	NA	hydrolase, TatD family	448.7261283	-0.098835186	0.247384968	-0.399519773	0.689510257	0.773711766
BB_0195	NA	TPR domain protein	1448.315058	-0.300047936	0.146064105	-2.054220893	0.039954317	0.076866724
BB_0196	NA	NA	249.5442405	-0.32814965	0.221822669	-1.479333255	0.139051269	0.21777517
BB_0197	NA	protoporphyrinogen oxidase, putative	505.9328441	0.579371747	0.176116356	3.289710052	0.001002907	0.003115412
BB_0198	NA	guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase ((ppGpp)ase) (Penta-phosphate guanosine-3'-pyrophosphohydrolase)	1154.606707	1.456097323	0.226869979	6.41820187	1.38E-10	1.49E-09
BB_0199	NA	NA	110.3700597	0.238750719	0.272558946	0.875959942	0.381051811	0.487653824
BB_0200	NA	D-alanine--D-alanine ligase (D-alanylalanine synthetase)(D-Ala-D-Ala ligase)	500.2368391	0.245153393	0.221814378	1.105218677	0.269064846	0.36898938
BB_0201	NA	UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase (UDP-N-acetylmuramyl-tripeptide synthetase) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-tripeptide synthetase)	889.1147605	0.066725305	0.173585463	0.384394544	0.700686044	0.782909406
BB_0202	NA	hemolysin, putative	672.1419133	0.313574707	0.154177203	2.0338591	0.041965804	0.080033478
BB_0203	hflK	HflK protein	396.6637582	-0.012775049	0.182360331	-0.070053879	0.944150776	0.96246247
BB_0204	hflC	HflC protein	689.7854719	0.3701694	0.148601551	2.491019766	0.012737703	0.028957339
BB_0205	NA	conserved hypothetical protein	173.6306741	-0.508994425	0.203603381	-2.499931106	0.012421746	0.028337108
BB_0206	NA	putative methyltransferase	163.0445427	-1.477273305	0.207279817	-7.126951981	1.03E-12	1.36E-11
BB_0208	NA	NA	124.569233	-0.09776457	0.305943357	-0.319551209	0.749308566	0.821862651
BB_0209	NA	tetratricopeptide repeat domain protein	948.1251815	0.478376796	0.167283404	2.859678745	0.004240704	0.011166903
BB_0210	NA	NA	845.4280972	0.712221067	0.176633218	4.032203425	5.53E-05	0.000234216
BB_0211	NA	DNA mismatch repair protein MutL	481.0923394	-0.246622584	0.152429333	-1.617947021	0.105674016	0.17335288
BB_0212	NA	borrelia ORF-A superfamily	163.6719412	-0.72496512	0.26840888	-2.700972935	0.006913696	0.017108469
BB_0213	NA	lipoprotein, putative	61.34750232	-1.07322291	0.402112197	-2.668963832	0.007608564	0.018445855
BB_0214	efp	translation elongation factor P	231.8412382	-1.242087564	0.225676261	-5.503846781	3.72E-08	2.74E-07
BB_0215	NA	phosphate ABC transporter, periplasmic phosphate-binding protein	336.7979903	-0.674539324	0.187653242	-3.594605227	0.000324884	0.001160047
BB_0216	pstC	phosphate ABC transporter, permease protein PstC	310.3669783	-0.244953297	0.189015289	-1.295944354	0.194994657	0.288864689
BB_0217	pstA	phosphate ABC transporter, permease protein PstA	235.167515	-0.326745933	0.171336716	-1.907039778	0.056515437	0.102401248
BB_0218	pstB	phosphate ABC transporter, ATP-binding protein	320.7812532	-0.83678101	0.29074294	-2.878078513	0.004001055	0.010620984
BB_0219	NA	metal cation transporter, zinc (Zn2+)-iron (Fe2+) permease (ZIP) family	954.7410727	-0.46635504	0.152416834	-3.059734466	0.002215333	0.00628444
BB_0220	NA	alanyl-tRNA synthetase	1374.182782	-0.845154243	0.133893706	-6.312128238	2.75E-10	2.85E-09
BB_0221	NA	flagellar motor switch protein	315.9559926	-0.835151981	0.175928088	-4.747121341	2.06E-06	1.12E-05
BB_0222	NA	6-phosphogluconolactonase (6PGL)	189.7133945	-0.432725685	0.197618736	-2.18969969	0.028546024	0.05802411
BB_0225	NA	tRNA-dihydrouridine synthase A	102.277206	-0.937751261	0.268594386	-3.491328593	0.000480625	0.001666335
BB_0226	serS	seryl-tRNA synthetase	1118.290773	-0.419109529	0.19513412	-2.147802393	0.031729457	0.063825206
BB_0227	NA	conserved hypothetical protein	84.88146315	-0.971898667	0.24542196	-3.960112896	7.49E-05	0.000311511
BB_0228	NA	peptidase M16 inactive domain family	691.2938189	-0.49149696	0.177916822	-2.762509779	0.005735884	0.0145501
BB_0229	rpmE	ribosomal protein L31	242.5430466	-0.512464639	0.256294279	-1.999516496	0.045552499	0.085386567
BB_0230	rho	transcription termination factor Rho	1910.453713	-1.000015519	0.135624376	-7.373420268	1.66E-13	2.63E-12
BB_0231	NA	hypothetical protein	216.4939475	-0.767072609	0.194313545	-3.947602355	7.89E-05	0.000325154
BB_0232	hbb	small DNA-binding protein Hbb	361.5141636	-0.492661787	0.174348766	-2.825725694	0.004717364	0.01225023
BB_0233	rpsT	ribosomal protein S20	1130.82394	0.570387914	0.244358196	2.334228702	0.01958375	0.0419105
BB_0234	NA	conserved hypothetical integral membrane protein	76.29106914	-0.411105972	0.276937718	-1.48447086	0.137684048	0.216149151
BB_0235	ychF	GTP-binding protein YchF	994.7273168	0.291773615	0.175856689	1.659155631	0.097084436	0.161071905
BB_0236	NA	tetratricopeptide repeat domain protein	3502.061173	0.50966613	0.16492351	3.090318239	0.001999421	0.005774153
BB_0237	lnt	apolipoprotein N-acyltransferase	446.2306372	0.646978199	0.538837701	1.200692152	0.229870639	0.325836052
BB_0238	NA	conserved hypothetical protein	2701.861318	1.20327729	0.24193397	4.973577261	6.57E-07	3.87E-06
BB_0239	NA	deoxyguanosine/deoxyadenosine kinase	247.2625462	-0.34036637	0.174093357	-1.955079602	0.050573676	0.092942391
